Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
91	-0.2019	7.7874	0.18428	4.542	5.162	5.571	5.803	6.183	6.457	6.888	7.787	8.832	9.462	9.919	10.647	11.154	12.194	14.26
92	-0.204	7.7784	0.18428	4.539	5.157	5.565	5.796	6.176	6.449	6.88	7.778	8.822	9.451	9.909	10.636	11.143	12.182	14.249
93	-0.206	7.7694	0.18428	4.535	5.152	5.559	5.79	6.169	6.442	6.872	7.769	8.812	9.441	9.898	10.625	11.132	12.171	14.238
94	-0.208	7.7606	0.18428	4.531	5.147	5.553	5.784	6.163	6.435	6.864	7.761	8.802	9.431	9.887	10.614	11.12	12.159	14.228
95	-0.21	7.7518	0.18428	4.527	5.142	5.548	5.778	6.156	6.428	6.857	7.752	8.792	9.42	9.876	10.603	11.109	12.148	14.217
96	-0.212	7.7431	0.18428	4.523	5.137	5.542	5.772	6.149	6.421	6.849	7.743	8.783	9.41	9.866	10.592	11.098	12.137	14.206
97	-0.2139	7.7345	0.18428	4.519	5.132	5.536	5.766	6.143	6.414	6.842	7.735	8.773	9.4	9.855	10.581	11.087	12.126	14.196
98	-0.2159	7.7259	0.18428	4.515	5.127	5.531	5.76	6.136	6.407	6.834	7.726	8.763	9.39	9.845	10.57	11.076	12.115	14.185
99	-0.2178	7.7174	0.18428	4.512	5.122	5.525	5.754	6.13	6.4	6.827	7.717	8.754	9.38	9.835	10.56	11.066	12.104	14.175
100	-0.2197	7.709	0.18428	4.508	5.118	5.52	5.749	6.124	6.394	6.819	7.709	8.744	9.37	9.825	10.549	11.055	12.093	14.165
101	-0.2216	7.7007	0.18429	4.504	5.113	5.514	5.743	6.117	6.387	6.812	7.701	8.735	9.36	9.815	10.539	11.045	12.083	14.155
102	-0.2235	7.6924	0.18429	4.5	5.108	5.509	5.737	6.111	6.38	6.805	7.692	8.726	9.351	9.805	10.529	11.034	12.072	14.145
103	-0.2253	7.6842	0.18429	4.497	5.103	5.504	5.731	6.105	6.374	6.798	7.684	8.717	9.341	9.795	10.519	11.024	12.062	14.135
104	-0.2272	7.676	0.18429	4.493	5.099	5.498	5.726	6.098	6.367	6.79	7.676	8.708	9.331	9.785	10.508	11.013	12.051	14.125
105	-0.229	7.6679	0.18429	4.489	5.094	5.493	5.72	6.092	6.36	6.783	7.668	8.698	9.322	9.775	10.498	11.003	12.041	14.115
106	-0.2308	7.6599	0.18429	4.486	5.09	5.488	5.714	6.086	6.354	6.776	7.66	8.69	9.312	9.766	10.488	10.993	12.03	14.106
107	-0.2326	7.652	0.18429	4.482	5.085	5.483	5.709	6.08	6.348	6.77	7.652	8.681	9.303	9.756	10.478	10.983	12.02	14.096
108	-0.2344	7.644	0.18429	4.479	5.08	5.478	5.703	6.074	6.341	6.763	7.644	8.672	9.294	9.746	10.468	10.973	12.01	14.086
109	-0.2362	7.6362	0.18429	4.475	5.076	5.473	5.698	6.068	6.335	6.756	7.636	8.663	9.285	9.737	10.459	10.963	12	14.077
110	-0.238	7.6284	0.18429	4.472	5.072	5.468	5.693	6.062	6.329	6.749	7.628	8.654	9.275	9.727	10.449	10.953	11.99	14.067
111	-0.2397	7.6206	0.18429	4.468	5.067	5.462	5.687	6.056	6.322	6.742	7.621	8.646	9.266	9.718	10.439	10.943	11.98	14.058
112	-0.2414	7.6129	0.18429	4.465	5.063	5.457	5.682	6.051	6.316	6.735	7.613	8.637	9.257	9.709	10.429	10.933	11.97	14.048
113	-0.2431	7.6053	0.18429	4.461	5.058	5.452	5.677	6.045	6.31	6.729	7.605	8.628	9.248	9.699	10.42	10.924	11.96	14.039
114	-0.2449	7.5977	0.18429	4.458	5.054	5.448	5.671	6.039	6.304	6.722	7.598	8.62	9.239	9.69	10.411	10.914	11.951	14.03
115	-0.2465	7.5902	0.18429	4.455	5.05	5.443	5.666	6.033	6.298	6.716	7.59	8.612	9.23	9.681	10.401	10.905	11.941	14.02
116	-0.2482	7.5827	0.18429	4.451	5.045	5.438	5.661	6.028	6.292	6.709	7.583	8.603	9.222	9.672	10.392	10.895	11.931	14.011
117	-0.2499	7.5752	0.1843	4.448	5.041	5.433	5.656	6.022	6.286	6.702	7.575	8.595	9.213	9.663	10.383	10.886	11.922	14.003
118	-0.2516	7.5678	0.1843	4.444	5.037	5.428	5.651	6.016	6.28	6.696	7.568	8.587	9.204	9.654	10.373	10.876	11.912	13.994
119	-0.2532	7.5605	0.1843	4.441	5.032	5.423	5.646	6.011	6.274	6.69	7.561	8.578	9.196	9.645	10.364	10.867	11.903	13.985
120	-0.2548	7.5532	0.1843	4.438	5.028	5.418	5.64	6.005	6.268	6.683	7.553	8.57	9.187	9.637	10.355	10.858	11.894	13.976
121	-0.2564	7.5459	0.1843	4.434	5.024	5.414	5.635	6	6.262	6.677	7.546	8.562	9.178	9.628	10.346	10.848	11.884	13.967
122	-0.2581	7.5387	0.1843	4.431	5.02	5.409	5.63	5.994	6.256	6.67	7.539	8.554	9.17	9.619	10.337	10.839	11.875	13.958
123	-0.2597	7.5315	0.1843	4.428	5.016	5.404	5.625	5.989	6.251	6.664	7.532	8.546	9.161	9.61	10.328	10.83	11.866	13.949
124	-0.2612	7.5244	0.1843	4.425	5.012	5.4	5.62	5.983	6.245	6.658	7.524	8.538	9.153	9.602	10.319	10.821	11.856	13.94
125	-0.2628	7.5173	0.1843	4.421	5.008	5.395	5.615	5.978	6.239	6.652	7.517	8.53	9.145	9.593	10.31	10.812	11.847	13.932
126	-0.2644	7.5103	0.1843	4.418	5.003	5.39	5.611	5.973	6.233	6.646	7.51	8.522	9.137	9.585	10.301	10.803	11.838	13.923
127	-0.2659	7.5033	0.1843	4.415	4.999	5.386	5.606	5.967	6.228	6.64	7.503	8.514	9.128	9.576	10.292	10.794	11.829	13.914
128	-0.2675	7.4963	0.1843	4.412	4.995	5.381	5.601	5.962	6.222	6.633	7.496	8.507	9.12	9.568	10.284	10.785	11.82	13.906
129	-0.269	7.4894	0.1843	4.409	4.991	5.377	5.596	5.957	6.217	6.627	7.489	8.499	9.112	9.559	10.275	10.776	11.811	13.897
130	-0.2705	7.4825	0.18429	4.406	4.987	5.372	5.591	5.951	6.211	6.621	7.483	8.491	9.104	9.551	10.266	10.767	11.802	13.888
131	-0.2721	7.4756	0.18429	4.403	4.984	5.368	5.587	5.946	6.206	6.615	7.476	8.483	9.096	9.542	10.257	10.759	11.793	13.88
132	-0.2736	7.4688	0.18429	4.399	4.98	5.363	5.582	5.941	6.2	6.609	7.469	8.476	9.088	9.534	10.249	10.75	11.784	13.871
