Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
91	0.003	9.7658	0.16611	5.843	6.634	7.144	7.43	7.893	8.221	8.731	9.766	10.923	11.6	12.082	12.833	13.345	14.369	16.311
92	0.0023	9.7596	0.16634	5.835	6.627	7.137	7.423	7.886	8.214	8.724	9.76	10.918	11.596	12.078	12.83	13.343	14.369	16.313
93	0.0016	9.7535	0.16657	5.828	6.619	7.13	7.416	7.878	8.207	8.717	9.754	10.913	11.591	12.074	12.827	13.341	14.368	16.316
94	0.0009	9.7475	0.1668	5.821	6.612	7.122	7.408	7.871	8.2	8.71	9.748	10.908	11.587	12.07	12.824	13.339	14.368	16.319
95	0.0002	9.7415	0.16703	5.814	6.605	7.115	7.401	7.864	8.193	8.704	9.742	10.903	11.583	12.067	12.822	13.337	14.367	16.322
96	-0.0005	9.7355	0.16725	5.807	6.598	7.108	7.394	7.857	8.186	8.697	9.736	10.898	11.578	12.063	12.819	13.335	14.366	16.325
97	-0.0012	9.7295	0.16748	5.799	6.591	7.101	7.387	7.85	8.179	8.69	9.73	10.893	11.574	12.059	12.816	13.333	14.366	16.328
98	-0.0018	9.7236	0.1677	5.793	6.583	7.094	7.38	7.843	8.172	8.684	9.724	10.888	11.57	12.055	12.813	13.33	14.365	16.33
99	-0.0025	9.7177	0.16792	5.786	6.576	7.087	7.373	7.837	8.166	8.677	9.718	10.883	11.565	12.052	12.81	13.328	14.365	16.333
100	-0.0032	9.7118	0.16814	5.779	6.569	7.08	7.366	7.83	8.159	8.671	9.712	10.878	11.561	12.048	12.807	13.326	14.364	16.336
101	-0.0038	9.7059	0.16836	5.772	6.562	7.073	7.359	7.823	8.152	8.664	9.706	10.873	11.557	12.044	12.805	13.324	14.363	16.338
102	-0.0045	9.7001	0.16858	5.765	6.556	7.066	7.352	7.816	8.146	8.658	9.7	10.869	11.553	12.041	12.802	13.322	14.363	16.341
103	-0.0051	9.6942	0.16879	5.758	6.549	7.059	7.346	7.809	8.139	8.651	9.694	10.863	11.548	12.037	12.799	13.32	14.362	16.343
104	-0.0057	9.6884	0.16901	5.751	6.542	7.052	7.339	7.803	8.132	8.645	9.688	10.859	11.544	12.033	12.796	13.318	14.361	16.346
105	-0.0064	9.6826	0.16922	5.745	6.535	7.045	7.332	7.796	8.126	8.639	9.683	10.854	11.54	12.029	12.793	13.315	14.361	16.349
106	-0.007	9.6768	0.16944	5.738	6.528	7.039	7.325	7.789	8.119	8.632	9.677	10.849	11.536	12.026	12.791	13.313	14.36	16.351
