Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
91	-0.303	7.692	0.17019	4.722	5.292	5.667	5.88	6.228	6.478	6.871	7.692	8.645	9.221	9.639	10.306	10.771	11.728	13.641
92	-0.3039	7.6853	0.17022	4.718	5.288	5.662	5.874	6.222	6.472	6.865	7.685	8.638	9.213	9.631	10.298	10.763	11.719	13.633
93	-0.3047	7.6787	0.17025	4.714	5.283	5.657	5.869	6.217	6.466	6.859	7.679	8.631	9.206	9.624	10.29	10.755	11.711	13.624
94	-0.3056	7.6721	0.17027	4.71	5.279	5.652	5.864	6.211	6.461	6.853	7.672	8.624	9.198	9.616	10.282	10.747	11.702	13.616
95	-0.3064	7.6654	0.1703	4.706	5.274	5.647	5.859	6.206	6.455	6.847	7.665	8.616	9.191	9.608	10.274	10.739	11.694	13.607
96	-0.3072	7.6589	0.17032	4.702	5.27	5.643	5.854	6.2	6.449	6.841	7.659	8.609	9.183	9.6	10.266	10.73	11.686	13.599
97	-0.3081	7.6523	0.17035	4.698	5.265	5.638	5.849	6.195	6.444	6.835	7.652	8.602	9.176	9.593	10.258	10.722	11.677	13.591
98	-0.3089	7.6458	0.17038	4.694	5.261	5.633	5.844	6.189	6.438	6.829	7.646	8.595	9.168	9.585	10.25	10.714	11.669	13.582
99	-0.3097	7.6393	0.1704	4.69	5.256	5.628	5.839	6.184	6.432	6.823	7.639	8.588	9.161	9.578	10.242	10.706	11.661	13.574
100	-0.3106	7.6328	0.17043	4.686	5.252	5.623	5.834	6.179	6.427	6.818	7.633	8.581	9.153	9.57	10.234	10.698	11.653	13.566
101	-0.3114	7.6263	0.17045	4.683	5.247	5.618	5.829	6.174	6.421	6.812	7.626	8.574	9.146	9.562	10.226	10.69	11.644	13.557
102	-0.3122	7.6198	0.17048	4.679	5.243	5.613	5.824	6.168	6.416	6.806	7.62	8.566	9.139	9.555	10.219	10.682	11.636	13.549
103	-0.313	7.6134	0.1705	4.675	5.238	5.609	5.819	6.163	6.41	6.8	7.613	8.559	9.131	9.547	10.211	10.674	11.628	13.541
104	-0.3138	7.607	0.17053	4.671	5.234	5.604	5.814	6.158	6.405	6.794	7.607	8.552	9.124	9.54	10.203	10.667	11.62	13.533
105	-0.3146	7.6006	0.17055	4.667	5.23	5.599	5.809	6.152	6.399	6.788	7.601	8.545	9.117	9.532	10.195	10.659	11.612	13.524
106	-0.3154	7.5943	0.17058	4.663	5.225	5.595	5.804	6.147	6.394	6.783	7.594	8.539	9.109	9.525	10.188	10.651	11.604	13.516
107	-0.3162	7.588	0.17061	4.66	5.221	5.59	5.799	6.142	6.389	6.777	7.588	8.532	9.102	9.518	10.18	10.643	11.596	13.509
108	-0.317	7.5816	0.17063	4.656	5.217	5.585	5.794	6.137	6.383	6.771	7.582	8.525	9.095	9.51	10.172	10.635	11.588	13.5
109	-0.3178	7.5753	0.17066	4.652	5.212	5.58	5.789	6.132	6.378	6.766	7.575	8.518	9.088	9.503	10.165	10.628	11.58	13.492
110	-0.3186	7.5691	0.17068	4.648	5.208	5.576	5.785	6.127	6.372	6.76	7.569	8.511	9.081	9.495	10.157	10.62	11.572	13.484
111	-0.3194	7.5628	0.1707	4.645	5.204	5.571	5.78	6.121	6.367	6.754	7.563	8.504	9.073	9.488	10.149	10.612	11.564	13.476
112	-0.3202	7.5566	0.17073	4.641	5.199	5.567	5.775	6.116	6.362	6.749	7.557	8.497	9.066	9.481	10.142	10.604	11.556	13.468
113	-0.321	7.5504	0.17075	4.637	5.195	5.562	5.77	6.111	6.356	6.743	7.55	8.491	9.059	9.473	10.134	10.597	11.548	13.46
114	-0.3218	7.5442	0.17078	4.634	5.191	5.557	5.765	6.106	6.351	6.737	7.544	8.484	9.052	9.466	10.127	10.589	11.541	13.453
115	-0.3226	7.538	0.1708	4.63	5.187	5.553	5.761	6.101	6.346	6.732	7.538	8.477	9.045	9.459	10.119	10.581	11.533	13.444
116	-0.3234	7.5318	0.17083	4.626	5.182	5.548	5.756	6.096	6.341	6.726	7.532	8.47	9.038	9.452	10.112	10.574	11.525	13.437
117	-0.3242	7.5257	0.17085	4.623	5.178	5.544	5.751	6.091	6.335	6.721	7.526	8.464	9.031	9.445	10.105	10.566	11.517	13.429
118	-0.3249	7.5196	0.17088	4.619	5.174	5.539	5.746	6.086	6.33	6.715	7.52	8.457	9.024	9.437	10.097	10.559	11.509	13.421
119	-0.3257	7.5135	0.1709	4.615	5.17	5.535	5.742	6.081	6.325	6.71	7.514	8.45	9.017	9.43	10.09	10.551	11.502	13.413
120	-0.3265	7.5074	0.17092	4.612	5.166	5.53	5.737	6.076	6.32	6.704	7.507	8.444	9.01	9.423	10.082	10.543	11.494	13.405
121	-0.3272	7.5013	0.17095	4.608	5.161	5.525	5.732	6.071	6.314	6.699	7.501	8.437	9.003	9.416	10.075	10.536	11.486	13.397
122	-0.328	7.4953	0.17097	4.604	5.157	5.521	5.728	6.066	6.309	6.693	7.495	8.43	8.996	9.409	10.068	10.529	11.478	13.39
123	-0.3288	7.4893	0.171	4.601	5.153	5.517	5.723	6.061	6.304	6.688	7.489	8.424	8.99	9.402	10.06	10.521	11.471	13.382
124	-0.3295	7.4833	0.17102	4.597	5.149	5.512	5.718	6.056	6.299	6.682	7.483	8.417	8.983	9.395	10.053	10.514	11.463	13.374
125	-0.3303	7.4773	0.17104	4.594	5.145	5.508	5.714	6.051	6.294	6.677	7.477	8.411	8.976	9.388	10.046	10.506	11.455	13.366
126	-0.3311	7.4713	0.17107	4.59	5.141	5.503	5.709	6.046	6.289	6.671	7.471	8.404	8.969	9.381	10.039	10.499	11.448	13.359
127	-0.3318	7.4653	0.17109	4.587	5.137	5.499	5.704	6.041	6.284	6.666	7.465	8.397	8.962	9.374	10.031	10.491	11.44	13.351
128	-0.3326	7.4594	0.17111	4.583	5.133	5.494	5.7	6.036	6.279	6.661	7.459	8.391	8.955	9.367	10.024	10.484	11.433	13.344
129	-0.3333	7.4535	0.17114	4.58	5.129	5.49	5.695	6.032	6.274	6.655	7.454	8.385	8.949	9.36	10.017	10.477	11.425	13.336
130	-0.3341	7.4476	0.17116	4.576	5.125	5.486	5.691	6.027	6.269	6.65	7.448	8.378	8.942	9.353	10.01	10.47	11.418	13.329
131	-0.3348	7.4417	0.17118	4.573	5.121	5.481	5.686	6.022	6.264	6.645	7.442	8.372	8.935	9.346	10.002	10.462	11.41	13.321
132	-0.3356	7.4358	0.17121	4.569	5.117	5.477	5.682	6.017	6.259	6.639	7.436	8.365	8.929	9.339	9.995	10.455	11.403	13.314
133	-0.3363	7.43	0.17123	4.566	5.113	5.473	5.677	6.012	6.254	6.634	7.43	8.359	8.922	9.332	9.988	10.448	11.395	13.306
134	-0.3371	7.4241	0.17125	4.562	5.109	5.468	5.673	6.007	6.249	6.629	7.424	8.352	8.915	9.325	9.981	10.44	11.388	13.298
135	-0.3378	7.4183	0.17128	4.559	5.104	5.464	5.668	6.003	6.244	6.623	7.418	8.346	8.909	9.319	9.974	10.433	11.38	13.291
136	-0.3386	7.4125	0.1713	4.555	5.101	5.46	5.664	5.998	6.239	6.618	7.413	8.34	8.902	9.312	9.967	10.426	11.373	13.284
137	-0.3393	7.4067	0.17132	4.552	5.097	5.455	5.659	5.993	6.234	6.613	7.407	8.333	8.895	9.305	9.96	10.419	11.366	13.276
138	-0.34	7.4009	0.17135	4.548	5.093	5.451	5.655	5.988	6.229	6.608	7.401	8.327	8.889	9.298	9.953	10.412	11.358	13.269
139	-0.3408	7.3952	0.17137	4.545	5.089	5.447	5.65	5.984	6.224	6.603	7.395	8.321	8.882	9.292	9.946	10.405	11.351	13.261
140	-0.3415	7.3894	0.17139	4.541	5.085	5.442	5.646	5.979	6.219	6.597	7.389	8.314	8.876	9.285	9.939	10.397	11.344	13.254
141	-0.3422	7.3837	0.17142	4.538	5.081	5.438	5.641	5.974	6.214	6.592	7.384	8.308	8.869	9.278	9.932	10.391	11.336	13.247
142	-0.343	7.378	0.17144	4.534	5.077	5.434	5.637	5.97	6.209	6.587	7.378	8.302	8.863	9.271	9.925	10.383	11.329	13.239
143	-0.3437	7.3723	0.17146	4.531	5.073	5.43	5.632	5.965	6.204	6.582	7.372	8.296	8.856	9.265	9.918	10.376	11.322	13.232
144	-0.3444	7.3666	0.17148	4.528	5.069	5.426	5.628	5.96	6.199	6.577	7.367	8.289	8.849	9.258	9.911	10.369	11.314	13.224
145	-0.3451	7.361	0.17151	4.524	5.065	5.421	5.624	5.956	6.195	6.572	7.361	8.283	8.843	9.251	9.905	10.362	11.308	13.217
146	-0.3458	7.3553	0.17153	4.521	5.061	5.417	5.619	5.951	6.19	6.566	7.355	8.277	8.837	9.245	9.898	10.355	11.3	13.21
147	-0.3466	7.3497	0.17155	4.518	5.057	5.413	5.615	5.946	6.185	6.561	7.35	8.271	8.83	9.238	9.891	10.348	11.293	13.203
148	-0.3473	7.3441	0.17157	4.514	5.054	5.409	5.611	5.942	6.18	6.556	7.344	8.265	8.824	9.232	9.884	10.341	11.286	13.195
149	-0.348	7.3385	0.1716	4.511	5.05	5.405	5.606	5.937	6.175	6.551	7.339	8.259	8.817	9.225	9.877	10.334	11.279	13.189
150	-0.3487	7.3329	0.17162	4.508	5.046	5.401	5.602	5.933	6.171	6.546	7.333	8.253	8.811	9.218	9.87	10.327	11.272	13.181
151	-0.3494	7.3273	0.17164	4.504	5.042	5.396	5.598	5.928	6.166	6.541	7.327	8.246	8.805	9.212	9.864	10.32	11.264	13.174
152	-0.3501	7.3218	0.17166	4.501	5.038	5.392	5.593	5.923	6.161	6.536	7.322	8.24	8.798	9.205	9.857	10.314	11.257	13.167
153	-0.3509	7.3162	0.17168	4.498	5.035	5.388	5.589	5.919	6.156	6.531	7.316	8.234	8.792	9.199	9.85	10.307	11.25	13.159
154	-0.3516	7.3107	0.17171	4.494	5.031	5.384	5.585	5.914	6.152	6.526	7.311	8.228	8.786	9.192	9.843	10.3	11.243	13.153
155	-0.3523	7.3052	0.17173	4.491	5.027	5.38	5.581	5.91	6.147	6.521	7.305	8.222	8.779	9.186	9.837	10.293	11.236	13.146
156	-0.353	7.2997	0.17175	4.488	5.023	5.376	5.576	5.905	6.142	6.516	7.3	8.216	8.773	9.179	9.83	10.286	11.229	13.138
157	-0.3537	7.2942	0.17177	4.484	5.019	5.372	5.572	5.901	6.138	6.511	7.294	8.21	8.767	9.173	9.823	10.279	11.222	13.131
158	-0.3544	7.2887	0.17179	4.481	5.016	5.368	5.568	5.896	6.133	6.506	7.289	8.204	8.76	9.166	9.817	10.273	11.215	13.124
159	-0.3551	7.2833	0.17182	4.478	5.012	5.364	5.564	5.892	6.128	6.501	7.283	8.198	8.754	9.16	9.81	10.266	11.208	13.117
160	-0.3558	7.2778	0.17184	4.475	5.008	5.36	5.559	5.887	6.124	6.496	7.278	8.192	8.748	9.154	9.803	10.259	11.201	13.11
161	-0.3565	7.2724	0.17186	4.471	5.004	5.356	5.555	5.883	6.119	6.492	7.272	8.186	8.742	9.147	9.797	10.252	11.194	13.103
162	-0.3572	7.267	0.17188	4.468	5.001	5.352	5.551	5.879	6.114	6.487	7.267	8.18	8.736	9.141	9.79	10.246	11.188	13.096
163	-0.3579	7.2616	0.1719	4.465	4.997	5.348	5.547	5.874	6.11	6.482	7.262	8.174	8.729	9.135	9.784	10.239	11.181	13.089
164	-0.3586	7.2562	0.17192	4.462	4.993	5.344	5.543	5.87	6.105	6.477	7.256	8.169	8.723	9.128	9.777	10.232	11.174	13.082
165	-0.3592	7.2509	0.17195	4.459	4.99	5.34	5.539	5.865	6.101	6.472	7.251	8.163	8.717	9.122	9.771	10.226	11.167	13.076
166	-0.3599	7.2455	0.17197	4.455	4.986	5.336	5.535	5.861	6.096	6.467	7.246	8.157	8.711	9.116	9.764	10.219	11.16	13.069
167	-0.3606	7.2402	0.17199	4.452	4.982	5.332	5.53	5.857	6.091	6.462	7.24	8.151	8.705	9.109	9.758	10.212	11.153	13.062
168	-0.3613	7.2349	0.17201	4.449	4.979	5.328	5.526	5.852	6.087	6.458	7.235	8.145	8.699	9.103	9.751	10.206	11.147	13.055
169	-0.362	7.2296	0.17203	4.446	4.975	5.324	5.522	5.848	6.082	6.453	7.23	8.139	8.693	9.097	9.745	10.199	11.14	13.048
170	-0.3627	7.2243	0.17205	4.443	4.971	5.32	5.518	5.844	6.078	6.448	7.224	8.134	8.687	9.091	9.738	10.193	11.133	13.041
171	-0.3634	7.219	0.17207	4.44	4.968	5.316	5.514	5.839	6.073	6.443	7.219	8.128	8.681	9.085	9.732	10.186	11.126	13.034
172	-0.364	7.2137	0.1721	4.436	4.964	5.312	5.51	5.835	6.069	6.438	7.214	8.122	8.675	9.078	9.725	10.18	11.12	13.028
173	-0.3647	7.2085	0.17212	4.433	4.961	5.308	5.506	5.831	6.064	6.434	7.209	8.116	8.669	9.072	9.719	10.173	11.113	13.021
174	-0.3654	7.2033	0.17214	4.43	4.957	5.304	5.502	5.826	6.06	6.429	7.203	8.111	8.663	9.066	9.713	10.167	11.106	13.014
175	-0.3661	7.1981	0.17216	4.427	4.953	5.301	5.498	5.822	6.056	6.424	7.198	8.105	8.657	9.06	9.706	10.16	11.1	13.008
176	-0.3668	7.1929	0.17218	4.424	4.95	5.297	5.494	5.818	6.051	6.42	7.193	8.099	8.651	9.054	9.7	10.154	11.093	13.001
177	-0.3674	7.1877	0.1722	4.421	4.946	5.293	5.49	5.813	6.047	6.415	7.188	8.094	8.645	9.048	9.694	10.147	11.086	12.994
178	-0.3681	7.1825	0.17222	4.418	4.943	5.289	5.486	5.809	6.042	6.41	7.183	8.088	8.639	9.042	9.687	10.141	11.08	12.987
179	-0.3688	7.1773	0.17224	4.415	4.939	5.285	5.482	5.805	6.038	6.406	7.177	8.082	8.633	9.036	9.681	10.134	11.073	12.981
180	-0.3694	7.1722	0.17226	4.412	4.936	5.281	5.478	5.801	6.033	6.401	7.172	8.077	8.627	9.029	9.675	10.128	11.066	12.974
181	-0.3701	7.1671	0.17228	4.409	4.932	5.278	5.474	5.797	6.029	6.396	7.167	8.071	8.621	9.023	9.668	10.121	11.06	12.967
182	-0.3708	7.162	0.17231	4.405	4.929	5.274	5.47	5.792	6.025	6.392	7.162	8.065	8.616	9.018	9.662	10.115	11.054	12.961
