Age	L	M	S	P01	P1	P3	P5	P10	P15	P25	P50	P75	P85	P90	P95	P97	P99	P999
91	0.1882	9.7533	0.17525	5.509	6.382	6.94	7.252	7.753	8.108	8.654	9.753	10.963	11.66	12.153	12.914	13.429	14.446	16.335
92	0.1859	9.748	0.17555	5.503	6.375	6.933	7.245	7.747	8.101	8.648	9.748	10.959	11.658	12.152	12.914	13.43	14.45	16.345
93	0.1836	9.7427	0.17583	5.496	6.368	6.926	7.238	7.74	8.094	8.642	9.743	10.955	11.655	12.15	12.914	13.431	14.453	16.354
94	0.1813	9.7375	0.17612	5.49	6.361	6.92	7.231	7.733	8.088	8.636	9.738	10.952	11.653	12.148	12.914	13.432	14.457	16.363
95	0.1791	9.7323	0.1764	5.484	6.355	6.913	7.225	7.727	8.081	8.629	9.732	10.948	11.65	12.147	12.914	13.433	14.461	16.372
96	0.1769	9.7272	0.17669	5.478	6.348	6.906	7.218	7.72	8.075	8.623	9.727	10.945	11.648	12.145	12.914	13.435	14.465	16.382
97	0.1747	9.722	0.17697	5.472	6.342	6.9	7.211	7.714	8.069	8.617	9.722	10.941	11.646	12.144	12.914	13.436	14.468	16.39
98	0.1725	9.7169	0.17725	5.466	6.335	6.893	7.205	7.707	8.062	8.611	9.717	10.938	11.643	12.142	12.914	13.437	14.472	16.4
99	0.1703	9.7118	0.17752	5.46	6.329	6.887	7.198	7.701	8.056	8.605	9.712	10.934	11.641	12.14	12.914	13.438	14.475	16.408
100	0.1682	9.7067	0.1778	5.454	6.322	6.88	7.192	7.694	8.05	8.599	9.707	10.93	11.638	12.139	12.914	13.439	14.479	16.417
101	0.1661	9.7015	0.17807	5.448	6.316	6.874	7.185	7.688	8.043	8.593	9.702	10.927	11.636	12.137	12.914	13.44	14.482	16.426
102	0.164	9.6964	0.17834	5.442	6.31	6.867	7.179	7.681	8.037	8.587	9.696	10.923	11.633	12.135	12.913	13.441	14.485	16.434
103	0.1619	9.6913	0.17861	5.436	6.303	6.861	7.172	7.675	8.031	8.581	9.691	10.919	11.63	12.134	12.913	13.441	14.489	16.443
104	0.1598	9.6861	0.17888	5.43	6.297	6.854	7.166	7.669	8.024	8.575	9.686	10.916	11.628	12.132	12.913	13.442	14.492	16.451
105	0.1578	9.6809	0.17914	5.424	6.291	6.848	7.159	7.662	8.018	8.569	9.681	10.912	11.625	12.13	12.912	13.443	14.494	16.459
106	0.1557	9.6756	0.17941	5.418	6.284	6.841	7.153	7.656	8.012	8.563	9.676	10.908	11.622	12.128	12.912	13.443	14.498	16.468
107	0.1537	9.6704	0.17967	5.413	6.278	6.835	7.146	7.649	8.006	8.557	9.67	10.904	11.619	12.126	12.911	13.444	14.5	16.475
108	0.1517	9.6651	0.17993	5.407	6.272	6.829	7.14	7.643	7.999	8.551	9.665	10.9	11.616	12.124	12.91	13.444	14.503	16.483
109	0.1497	9.6597	0.18019	5.401	6.265	6.822	7.133	7.637	7.993	8.545	9.66	10.896	11.613	12.122	12.909	13.444	14.505	16.491
110	0.1477	9.6543	0.18045	5.395	6.259	6.816	7.127	7.63	7.986	8.538	9.654	10.892	11.61	12.119	12.909	13.444	14.508	16.498
111	0.1458	9.6489	0.1807	5.389	6.253	6.809	7.121	7.624	7.98	8.532	9.649	10.888	11.607	12.117	12.908	13.444	14.51	16.505
112	0.1438	9.6434	0.18096	5.383	6.246	6.803	7.114	7.617	7.974	8.526	9.643	10.884	11.604	12.114	12.907	13.444	14.512	16.513
113	0.1419	9.6379	0.18121	5.377	6.24	6.796	7.108	7.611	7.967	8.52	9.638	10.879	11.601	12.112	12.905	13.444	14.514	16.52
114	0.14	9.6323	0.18146	5.372	6.234	6.79	7.101	7.604	7.961	8.514	9.632	10.875	11.597	12.109	12.904	13.444	14.516	16.526
115	0.1381	9.6266	0.18172	5.366	6.227	6.783	7.094	7.598	7.954	8.507	9.627	10.871	11.594	12.107	12.903	13.443	14.518	16.533
